0,1,2,3,4,5,6,7,8,9
"
DECORA



","53,8000","-0,2000","-0,37%",82,276 416,"53,4000","55,8000","53,4000",02.01 15:49
"
DEKPOL



","54,0000","0,0000","0,00%",21,96 745,"53,0000","54,0000","50,8000",02.01 17:00
"
DELKO



","11,0500","0,5000","4,74%",269,306 840,"10,8500","11,1000","10,8000",02.01 17:00
"
DEVELIA



","4,4800","-0,0600","-1,32%",506,969 105,"4,5000","4,5400","4,4150",02.01 17:03
"
DGA



","7,7500","0,5500","7,64%",6,12 099,"7,2000","7,7500","7,0500",02.01 16:45
"
DIGITANET



","32,5000","1,5000","4,84%",95,261 445,"33,8000","33,8000","31,2000",02.01 16:47
"
DIGITREE



","9,7500","0,0500","0,52%",2,1 901,"9,7500","9,7500","9,7500",02.01 13:17
"
DINOPL



","457,7000","-3,0000","-0,65%",3 469,48 517 228,"461,4000","465,8000","454,8000",02.01 17:00
"
DOMDEV



","147,0000","-2,4000","-1,61%",498,1 254 538,"149,4000","151,6000","147,0000",02.01 17:04
"
DRAGOENT



","58,8000","0,8000","1,38%",42,98 636,"60,0000","61,8000","58,0000",02.01 16:32
"
DROZAPOL



","3,5800","0,2700","8,16%",21,23 636,"3,3500","3,5800","3,3500",02.01 16:46
"
ECHO



","4,0000","0,0000","0,00%",93,76 858,"4,0000","4,0600","3,9900",02.01 17:00
"
EDINVEST



","7,4500","-0,0500","-0,67%",26,14 144,"7,5000","7,6500","7,4500",02.01 16:46
"
EFEKT



","7,1000","0,0000","0,00%",2,2 130,"7,1000","7,1000","7,1000",02.01 15:00
"
EKOEXPORT



","1,6300","0,0100","0,62%",32,20 173,"1,6650","1,6700","1,6000",04.05 16:48
"
ELEKTROTI



","17,9600","-0,2400","-1,32%",193,325 337,"18,2600","18,2600","17,6200",02.01 17:00
"
ELKOP



","0,4670","-0,0160","-3,31%",64,16 871,"0,4850","0,4850","0,4660",02.01 17:00
"
ELZAB



","1,9200","-0,0100","-0,52%",18,19 304,"1,8800","1,9800","1,8800",15.12 17:00
"
EMCINSMED



","8,7000","0,0500","0,58%",14,732,"9,4000","9,4000","8,7000",02.01 17:00
"
ENAP



","2,0000","0,0800","4,17%",6,7 476,"1,9300","2,0000","1,9300",02.01 15:11
"
ENEA



","8,9500","-0,2200","-2,40%",1 119,3 938 519,"9,2600","9,2600","8,8050",02.01 17:01
"
ENELMED



","19,0000","0,0000","0,00%",15,6 479,"19,2000","19,2000","19,0000",02.01 17:00
"
ENERGA



","9,5800","0,2200","2,35%",168,429 620,"9,3600","9,9000","9,3600",02.01 17:00
"
ENERGOINS



","3,6000","-0,1800","-4,76%",135,188 994,"3,8400","3,8600","3,5600",02.01 17:02
"
ENTER



","51,0000","-0,2000","-0,39%",126,536 760,"51,2000","51,8000","48,2000",02.01 16:48
"
ERBUD



","43,0000","0,2000","0,47%",253,879 288,"42,8000","44,2000","42,5000",02.01 17:03
"
ERG



","54,0000","1,0000","1,89%",1,162,"54,0000","54,0000","54,0000",02.01 09:00
"
ESOTIQ



","34,0000","0,5000","1,49%",33,55 671,"33,5000","34,4000","33,0000",02.01 16:38
"
ESTAR



","1,4600","0,0600","4,29%",1,20,"1,4600","1,4600","1,4600",25.10 10:01
"
EUCO



","0,5920","-0,0380","-6,03%",15,2 431,"0,6300","0,6300","0,5900",02.01 17:00
"
EUROCASH



","16,9800","0,3300","1,98%",1 780,7 684 543,"16,9100","17,3300","16,6200",02.01 17:04
"
EUROHOLD



","3,6000","-0,0200","-0,55%",2,3 071,"3,6000","3,6000","3,6000",02.01 16:44
"
EUROTEL



","42,5000","2,1000","5,20%",106,149 037,"40,4000","43,3000","40,2000",02.01 17:00
"
FABRITY



","35,9000","-0,1000","-0,28%",20,20 713,"37,8000","37,8000","35,6000",02.01 15:30
"
FASING



","15,0000","0,5000","3,45%",28,362 591,"14,6000","15,5000","14,2000",02.01 17:00
"
FASTFIN



","1,0100","-0,0300","-2,88%",2,1 212,"1,0100","1,0100","1,0100",03.10 11:00
"
FEERUM



","5,7500","0,0500","0,88%",6,3 658,"6,2000","6,2000","5,7500",02.01 17:00
"
FERRO



","31,8000","0,4000","1,27%",161,1 829 107,"31,6000","32,6000","31,4000",02.01 17:00
"
FERRUM



","3,5200","0,0000","0,00%",5,1 803,"3,5000","3,5200","3,5000",02.01 15:02
"
FMG



","46,0000","-3,6000","-7,26%",5,4 380,"48,0000","48,8000","46,0000",02.01 17:00
"
FON



","1,8700","0,4600","32,62%",433,954 650,"1,7000","1,8700","1,6000",29.12 10:37
"
FORTE



","22,2000","-0,6000","-2,63%",99,87 092,"23,0000","23,0000","22,0000",02.01 17:00
"
GAMEOPS



","30,0000","-0,7000","-2,28%",91,297 983,"30,7000","30,7000","29,2000",02.01 17:00
"
GAMFACTOR



","11,9000","0,0000","0,00%",93,162 539,"12,0000","12,4000","11,6000",02.01 17:00
"
GENOMTEC



","10,8000","-0,0500","-0,46%",105,398 539,"11,1000","11,1000","10,5000",02.01 16:48
